t,r,phi,dr_dt,dp_dt
82.20551378446115,2.0,1.291281190949188,0.0,0.015707963267948967
83.20802005012531,2.0,1.3070285225461291,0.0,0.015707963267948967
84.21052631578947,2.0,1.3227758541430703,0.0,0.015707963267948967
85.21303258145363,2.0,1.338523185740012,0.0,0.015707963267948967
86.21553884711778,2.0,1.354270517336953,0.0,0.015707963267948967
87.21804511278195,2.0,1.3700178489338943,0.0,0.015707963267948967
88.22055137844612,2.0,1.385765180530836,0.0,0.015707963267948967
89.22305764411027,2.0,1.401512512127777,0.0,0.015707963267948967
90.22556390977444,2.0,1.4172598437247184,0.0,0.015707963267948967
91.22807017543859,2.0,1.4330071753216598,0.0,0.015707963267948967
92.23057644110276,2.0,1.448754506918601,0.0,0.015707963267948967
93.23308270676691,2.0,1.4645018385155422,0.0,0.015707963267948967
